image,class_id,class_name,confidence,cx_px,cy_px,w_mm,h_mm,short_mm,long_mm,angle_deg,box_index,size_label
5a1ff7d5-IMG_3242.JPEG,1,Porca,0.9731441736221313,1200.08837890625,1100.7996826171875,27.34,28.65,27.34,28.65,0.03,0,
5a1ff7d5-IMG_3242.JPEG,1,Porca,0.966887891292572,913.7977905273438,504.66461181640625,31.87,32.54,31.87,32.54,0.01,1,
5a651f8e-IMG_3484.JPEG,1,Porca,0.9515010118484497,903.451171875,964.1793212890625,12.17,12.4,12.17,12.4,0.03,0,
5a651f8e-IMG_3484.JPEG,1,Porca,0.9495422840118408,463.4394226074219,884.6135864257812,11.47,11.74,11.47,11.74,0.04,1,
5a651f8e-IMG_3484.JPEG,0,Parafuso,0.9354985356330872,635.8484497070312,903.9940795898438,10.35,26.36,10.35,26.36,0.12,2,SHORTEST
5a651f8e-IMG_3484.JPEG,0,Parafuso,0.9279192686080933,1110.5291748046875,972.4337768554688,38.77,10.92,10.92,38.77,1.45,3,LONGEST
5b1e3cfb-IMG_3006.JPEG,1,Porca,0.9558661580085754,1153.0740966796875,631.5184936523438,26.07,26.2,26.07,26.2,0.01,0,
5b1e3cfb-IMG_3006.JPEG,1,Porca,0.927791178226471,1790.939697265625,375.9615173339844,12.88,19.37,12.88,19.37,1.57,1,
5b1e3cfb-IMG_3006.JPEG,0,Parafuso,0.9185811281204224,955.7341918945312,267.2483825683594,51.88,16.26,16.26,51.88,0.09,2,LONGEST
5b1e3cfb-IMG_3006.JPEG,0,Parafuso,0.8939443230628967,987.7644653320312,507.1333923339844,18.81,43.75,18.81,43.75,1.11,3,IN-BETWEEN
5b1e3cfb-IMG_3006.JPEG,0,Parafuso,0.8551939725875854,1543.093994140625,193.09915161132812,13.94,18.16,13.94,18.16,0.08,4,SHORTEST
5b1e3cfb-IMG_3006.JPEG,1,Porca,0.8302125334739685,1087.3314208984375,361.2206726074219,13.34,19.55,13.34,19.55,1.57,5,
5b1e3cfb-IMG_3006.JPEG,1,Porca,0.7733478546142578,748.5681762695312,525.6533813476562,15.18,14.54,14.54,15.18,1.56,6,
5b1e3cfb-IMG_3006.JPEG,1,Porca,0.7345303297042847,768.6919555664062,98.89556121826172,8.65,13.91,8.65,13.91,1.56,7,
5e02c860-IMG_2989.JPEG,1,Porca,0.9472088813781738,1166.9295654296875,1479.4359130859375,13.66,14.22,13.66,14.22,0.03,0,
5e02c860-IMG_2989.JPEG,0,Parafuso,0.9452950954437256,429.99853515625,1415.406982421875,37.66,14.86,14.86,37.66,1.56,1,IN-BETWEEN
5e02c860-IMG_2989.JPEG,1,Porca,0.9366082549095154,268.5513610839844,1050.3157958984375,13.44,13.17,13.17,13.44,0.02,2,
5e02c860-IMG_2989.JPEG,1,Porca,0.9279288649559021,795.10595703125,619.177978515625,13.27,14.47,13.27,14.47,0.03,3,
5e02c860-IMG_2989.JPEG,0,Parafuso,0.9234463572502136,857.2510986328125,1169.5986328125,38.41,13.58,13.58,38.41,1.11,4,IN-BETWEEN
5e02c860-IMG_2989.JPEG,1,Porca,0.9223294258117676,699.3512573242188,876.6929931640625,15.24,13.3,13.3,15.24,0.02,5,
5e02c860-IMG_2989.JPEG,1,Porca,0.9123745560646057,571.6466064453125,517.5884399414062,12.98,11.4,11.4,12.98,0.02,6,
5e02c860-IMG_2989.JPEG,0,Parafuso,0.9082868099212646,679.3851318359375,633.975341796875,11.63,29.45,11.63,29.45,0.15,7,SHORTEST
5e02c860-IMG_2989.JPEG,0,Parafuso,0.9078624248504639,800.1124877929688,963.1798095703125,12.4,38.97,12.4,38.97,1.54,8,LONGEST
5e1dbf8c-IMG_3327.JPEG,1,Porca,0.9484859704971313,1369.9197998046875,457.0647888183594,21.26,18.96,18.96,21.26,0.02,0,
5e1dbf8c-IMG_3327.JPEG,0,Parafuso,0.9167478084564209,1546.0985107421875,765.6547241210938,26.27,64.01,26.27,64.01,1.52,1,SHORTEST
5e1dbf8c-IMG_3327.JPEG,0,Parafuso,0.9046837687492371,760.7166748046875,509.95953369140625,26.19,74.38,26.19,74.38,1.42,2,LONGEST
5e4a73e6-IMG_3003.JPEG,1,Porca,0.9606606364250183,1158.8333740234375,758.2699584960938,15.08,15.21,15.08,15.21,0.04,0,
5e4a73e6-IMG_3003.JPEG,1,Porca,0.9528110027313232,905.646484375,633.8156127929688,15.31,13.99,13.99,15.31,0.03,1,
5e4a73e6-IMG_3003.JPEG,0,Parafuso,0.9252052903175354,1446.41552734375,331.2815856933594,11.16,19.48,11.16,19.48,0.1,2,SHORTEST
5e4a73e6-IMG_3003.JPEG,1,Porca,0.9165118932723999,1102.7132568359375,504.5997009277344,13.79,12.2,12.2,13.79,0.01,3,
5e4a73e6-IMG_3003.JPEG,1,Porca,0.9133857488632202,1600.6519775390625,545.4862670898438,11.33,14.01,11.33,14.01,1.57,4,
5e4a73e6-IMG_3003.JPEG,0,Parafuso,0.9125034809112549,1053.87451171875,650.661376953125,13.37,28.22,13.37,28.22,0.96,5,IN-BETWEEN
5e4a73e6-IMG_3003.JPEG,1,Porca,0.9037654399871826,844.4766845703125,161.80526733398438,11.83,9.13,9.13,11.83,0.01,6,
5e4a73e6-IMG_3003.JPEG,0,Parafuso,0.8982981443405151,1016.8804931640625,400.8196716308594,40.32,12.8,12.8,40.32,0.26,7,LONGEST
5e4a73e6-IMG_3003.JPEG,0,Parafuso,0.8723571300506592,1019.1716918945312,304.5557556152344,22.89,11.29,11.29,22.89,1.12,8,IN-BETWEEN
5e63df8f-IMG_3345.JPEG,1,Porca,0.948458731174469,1175.84814453125,692.112548828125,23.18,18.69,18.69,23.18,0.0,0,
5e63df8f-IMG_3345.JPEG,0,Parafuso,0.9368765354156494,496.5188903808594,799.010986328125,24.08,52.16,24.08,52.16,0.36,1,LONGEST
5e63df8f-IMG_3345.JPEG,0,Parafuso,0.9355210661888123,891.7847900390625,494.3195495605469,39.93,19.77,19.77,39.93,0.5,2,SHORTEST
