epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,461.939,0.46423,0.33118,1.22646,0.97236,0.95477,0.98602,0.85277,0.6744,0.37581,1.45838,0.000520021,0.000520021,0.000520021
141,465.399,0.45227,0.34006,1.23874,0.98164,0.95859,0.98626,0.84772,0.67413,0.37258,1.45033,0.000511769,0.000511769,0.000511769
142,468.792,0.44954,0.31646,1.2226,0.97956,0.95937,0.98641,0.84736,0.66444,0.36435,1.45632,0.000503517,0.000503517,0.000503517
143,472.326,0.43942,0.32148,1.21837,0.98017,0.95134,0.98549,0.85237,0.65932,0.3711,1.46291,0.000495266,0.000495266,0.000495266
144,476.037,0.4678,0.33481,1.22049,0.99035,0.95923,0.98599,0.84972,0.65529,0.37157,1.44038,0.000487014,0.000487014,0.000487014
145,479.585,0.4487,0.32172,1.22372,0.99152,0.95791,0.9857,0.84889,0.65595,0.37646,1.44494,0.000478762,0.000478762,0.000478762
146,482.831,0.44149,0.31131,1.21423,0.97934,0.96773,0.98416,0.85161,0.65557,0.39233,1.42722,0.000470511,0.000470511,0.000470511
147,486.17,0.46161,0.33898,1.22546,0.96944,0.97351,0.98451,0.85105,0.66862,0.38867,1.4577,0.000462259,0.000462259,0.000462259
148,489.472,0.44838,0.30979,1.21605,0.98899,0.97567,0.98478,0.85724,0.67133,0.37729,1.4309,0.000454007,0.000454007,0.000454007
149,492.55,0.44009,0.3194,1.21237,0.98912,0.97532,0.98661,0.85114,0.67376,0.37299,1.44062,0.000445756,0.000445756,0.000445756
150,495.669,0.45395,0.32714,1.24489,0.98666,0.97567,0.98708,0.85223,0.67203,0.36451,1.44042,0.000437504,0.000437504,0.000437504
151,498.821,0.46396,0.33132,1.23313,0.98019,0.96747,0.98696,0.85631,0.66649,0.3715,1.4474,0.000429253,0.000429253,0.000429253
152,502.318,0.46343,0.3311,1.25554,0.97918,0.96817,0.98468,0.85622,0.6575,0.37556,1.44778,0.000421001,0.000421001,0.000421001
153,505.634,0.45209,0.32751,1.21514,0.9759,0.96773,0.98406,0.8562,0.65703,0.38127,1.44528,0.000412749,0.000412749,0.000412749
154,509.163,0.44239,0.31358,1.22507,0.97343,0.96773,0.98416,0.85353,0.6553,0.3746,1.46564,0.000404498,0.000404498,0.000404498
155,512.41,0.43367,0.30751,1.21772,0.97274,0.96773,0.98373,0.8528,0.65677,0.37388,1.45307,0.000396246,0.000396246,0.000396246
156,515.643,0.4641,0.32384,1.24492,0.97592,0.94331,0.98338,0.85209,0.65972,0.37795,1.45072,0.000387994,0.000387994,0.000387994
157,518.732,0.45415,0.3313,1.22596,0.96743,0.96698,0.98398,0.84829,0.65921,0.38178,1.44276,0.000379743,0.000379743,0.000379743
158,522.054,0.45356,0.32054,1.27176,0.97237,0.95118,0.97916,0.84177,0.6721,0.39307,1.4421,0.000371491,0.000371491,0.000371491
159,525.189,0.45762,0.32803,1.24498,0.97396,0.96747,0.98329,0.85013,0.66719,0.38776,1.475,0.000363239,0.000363239,0.000363239
160,528.377,0.44982,0.3175,1.2358,0.97247,0.97274,0.98384,0.8521,0.66471,0.38515,1.46712,0.000354988,0.000354988,0.000354988
161,531.94,0.43991,0.31642,1.22505,0.97773,0.97158,0.98397,0.84337,0.66281,0.38306,1.46239,0.000346736,0.000346736,0.000346736
162,535.614,0.4327,0.31642,1.20016,0.98154,0.97406,0.98415,0.84913,0.65957,0.37767,1.4625,0.000338484,0.000338484,0.000338484
163,539.122,0.42235,0.30936,1.19848,0.9825,0.97567,0.98504,0.84897,0.65992,0.37151,1.43747,0.000330233,0.000330233,0.000330233
164,542.648,0.45619,0.31575,1.18542,0.97044,0.96747,0.98435,0.84659,0.66834,0.36997,1.4274,0.000321981,0.000321981,0.000321981
165,545.881,0.43989,0.31383,1.18204,0.97171,0.96747,0.98436,0.84517,0.66539,0.36625,1.44207,0.000313729,0.000313729,0.000313729
166,549.01,0.44705,0.32686,1.2275,0.98574,0.95928,0.98375,0.84394,0.66531,0.36416,1.42852,0.000305478,0.000305478,0.000305478
167,552.275,0.44,0.31799,1.23882,0.98716,0.95928,0.98404,0.84655,0.66668,0.36571,1.43253,0.000297226,0.000297226,0.000297226
168,555.377,0.42623,0.31079,1.23523,0.98579,0.9583,0.98441,0.84417,0.66226,0.36548,1.45249,0.000288974,0.000288974,0.000288974
169,558.597,0.43627,0.31286,1.25254,0.96433,0.97368,0.98444,0.8474,0.66063,0.36915,1.43644,0.000280723,0.000280723,0.000280723
170,561.888,0.47165,0.32993,1.22693,0.96431,0.97557,0.98448,0.8468,0.65993,0.37385,1.44296,0.000272471,0.000272471,0.000272471
171,565.449,0.43848,0.31904,1.23026,0.97646,0.95134,0.98377,0.8515,0.66039,0.37854,1.49298,0.00026422,0.00026422,0.00026422
172,568.62,0.44981,0.31731,1.22941,0.97802,0.95134,0.98404,0.85065,0.66189,0.37725,1.47665,0.000255968,0.000255968,0.000255968
173,571.98,0.4308,0.30647,1.22114,0.97938,0.95134,0.98421,0.84605,0.66423,0.37495,1.4734,0.000247716,0.000247716,0.000247716
174,575.199,0.42377,0.30264,1.23381,0.96753,0.96773,0.98413,0.84788,0.66154,0.37232,1.4923,0.000239465,0.000239465,0.000239465
175,578.479,0.43465,0.32645,1.25858,0.96951,0.96773,0.98395,0.84453,0.66425,0.37814,1.48321,0.000231213,0.000231213,0.000231213
176,581.859,0.42735,0.30279,1.19223,0.98056,0.96236,0.98356,0.84122,0.66408,0.37968,1.4842,0.000222961,0.000222961,0.000222961
177,585.319,0.44531,0.30608,1.21713,0.98104,0.96582,0.97968,0.84688,0.66116,0.37796,1.51029,0.00021471,0.00021471,0.00021471
178,588.646,0.43583,0.3125,1.21501,0.98196,0.96516,0.98341,0.8504,0.65973,0.37765,1.52434,0.000206458,0.000206458,0.000206458
179,592.232,0.42029,0.30733,1.23374,0.98165,0.96464,0.98469,0.85279,0.66111,0.37451,1.51279,0.000198206,0.000198206,0.000198206
180,595.655,0.43488,0.30988,1.219,0.98027,0.96563,0.98475,0.8462,0.67101,0.37759,1.49638,0.000189955,0.000189955,0.000189955
181,599.443,0.40957,0.30122,1.19781,0.97131,0.96601,0.9844,0.8444,0.66883,0.37576,1.49733,0.000181703,0.000181703,0.000181703
182,602.929,0.40934,0.31116,1.20708,0.97834,0.96636,0.98391,0.85336,0.66069,0.36853,1.5029,0.000173451,0.000173451,0.000173451
