epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,156.765,0.58819,0.41541,1.29338,0.9923,0.96744,0.9942,0.79331,0.81151,0.40771,1.48341,0.000643795,0.000643795,0.000643795
126,157.965,0.60595,0.41417,1.24183,0.99435,0.96744,0.9942,0.79949,0.80933,0.40605,1.46874,0.000635544,0.000635544,0.000635544
127,159.194,0.5977,0.40915,1.19482,0.99435,0.96744,0.9942,0.79949,0.80933,0.40605,1.46874,0.000627292,0.000627292,0.000627292
128,160.809,0.58945,0.40629,1.18889,0.9971,0.97035,0.99448,0.80931,0.79819,0.40861,1.46467,0.00061904,0.00061904,0.00061904
129,162.14,0.60773,0.41706,1.27162,0.9971,0.97035,0.99448,0.80931,0.79819,0.40861,1.46467,0.000610789,0.000610789,0.000610789
130,163.585,0.58114,0.41468,1.24271,0.99794,0.96633,0.99371,0.80981,0.79639,0.4133,1.45512,0.000602537,0.000602537,0.000602537
131,165.087,0.59454,0.40067,1.18807,0.99794,0.96633,0.99371,0.80981,0.79639,0.4133,1.45512,0.000594286,0.000594286,0.000594286
132,166.535,0.61045,0.40809,1.24035,0.99695,0.96496,0.99371,0.80696,0.79599,0.42061,1.46053,0.000586034,0.000586034,0.000586034
133,167.634,0.58772,0.42973,1.30691,0.99695,0.96496,0.99371,0.80696,0.79599,0.42061,1.46053,0.000577782,0.000577782,0.000577782
134,168.695,0.58617,0.40644,1.28528,0.99335,0.96353,0.99371,0.80539,0.8088,0.42506,1.45211,0.000569531,0.000569531,0.000569531
135,169.819,0.56344,0.40743,1.19957,0.99335,0.96353,0.99371,0.80539,0.8088,0.42506,1.45211,0.000561279,0.000561279,0.000561279
136,170.995,0.56103,0.39658,1.21983,0.99842,0.97961,0.994,0.7998,0.83501,0.42175,1.43607,0.000553027,0.000553027,0.000553027
137,172.175,0.55325,0.38459,1.21401,0.99842,0.97961,0.994,0.7998,0.83501,0.42175,1.43607,0.000544776,0.000544776,0.000544776
